element,x,y,w,h,extra
pad_0,58,371,35,27,
pad_1,108,371,35,27,
pad_2,158,371,35,27,
pad_3,209,371,35,27,
pad_4,58,458,35,27,
pad_5,108,458,35,27,
pad_6,158,458,35,27,
pad_7,209,458,35,27,
pad_8,58,500,35,27,
pad_9,108,500,35,27,
pad_10,158,500,35,27,
pad_11,209,500,35,27,
pad_12,345,588,57,57,
pad_13,417,588,57,57,
pad_14,490,588,57,57,
pad_15,562,588,57,57,
button_0,836,17,39,32,
button_1,751,256,30,30,
jog,116,-106,694,694,347
screen_0,679,453,133,134,
